"Result:MGW Traffic Licence(2026-06-02 155028)_20260602_154627.csv"
"Save Time:2026-06-02 15:46:27"
"User Name:fraser.msusa"


"NE Type Name:MGW"

"NE Names:NEW LLGMGW;NEW LMBMGW"

"Function Subset Name:Statistics of License"

"Total 1,709 records"

"Start Time","Period (min)","NE Name","MGWFunction","Average Licensed Traffic (number)","Peak Licensed Traffic (number)"
"2026-04-28 00:00:00","60","NEW LLGMGW","NEW LLGMGW","426","596"
"2026-04-28 00:00:00","60","NEW LMBMGW","NEW LMBMGW","366","537"
"2026-04-28 01:00:00","60","NEW LLGMGW","NEW LLGMGW","266","310"
"2026-04-28 01:00:00","60","NEW LMBMGW","NEW LMBMGW","278","364"
"2026-04-28 02:00:00","60","NEW LLGMGW","NEW LLGMGW","283","368"
"2026-04-28 02:00:00","60","NEW LMBMGW","NEW LMBMGW","274","357"
"2026-04-28 03:00:00","60","NEW LLGMGW","NEW LLGMGW","499","832"
"2026-04-28 03:00:00","60","NEW LMBMGW","NEW LMBMGW","575","1014"
"2026-04-28 04:00:00","60","NEW LLGMGW","NEW LLGMGW","1811","3772"
"2026-04-28 04:00:00","60","NEW LMBMGW","NEW LMBMGW","2067","4268"
"2026-04-28 05:00:00","60","NEW LLGMGW","NEW LLGMGW","7560","10477"
"2026-04-28 05:00:00","60","NEW LMBMGW","NEW LMBMGW","7656","9817"
"2026-04-28 06:00:00","60","NEW LLGMGW","NEW LLGMGW","10987","11862"
"2026-04-28 06:00:00","60","NEW LMBMGW","NEW LMBMGW","10034","10451"
"2026-04-28 07:00:00","60","NEW LLGMGW","NEW LLGMGW","11962","12395"
"2026-04-28 07:00:00","60","NEW LMBMGW","NEW LMBMGW","10381","10765"
"2026-04-28 08:00:00","60","NEW LLGMGW","NEW LLGMGW","12367","12629"
"2026-04-28 08:00:00","60","NEW LMBMGW","NEW LMBMGW","10602","10891"
"2026-04-28 09:00:00","60","NEW LLGMGW","NEW LLGMGW","12236","12628"
"2026-04-28 09:00:00","60","NEW LMBMGW","NEW LMBMGW","10525","10994"
"2026-04-28 10:00:00","60","NEW LLGMGW","NEW LLGMGW","11821","12184"
"2026-04-28 10:00:00","60","NEW LMBMGW","NEW LMBMGW","10109","10468"
"2026-04-28 11:00:00","60","NEW LLGMGW","NEW LLGMGW","11899","12255"
"2026-04-28 11:00:00","60","NEW LMBMGW","NEW LMBMGW","10523","10978"
"2026-04-28 12:00:00","60","NEW LLGMGW","NEW LLGMGW","11811","12157"
"2026-04-28 12:00:00","60","NEW LMBMGW","NEW LMBMGW","10466","10769"
"2026-04-28 13:00:00","60","NEW LMBMGW","NEW LMBMGW","10684","11101"
"2026-04-28 13:00:00","60","NEW LLGMGW","NEW LLGMGW","11852","12270"
"2026-04-28 14:00:00","60","NEW LLGMGW","NEW LLGMGW","12269","12683"
"2026-04-28 14:00:00","60","NEW LMBMGW","NEW LMBMGW","11126","11475"
"2026-04-28 15:00:00","60","NEW LLGMGW","NEW LLGMGW","12510","12952"
"2026-04-28 15:00:00","60","NEW LMBMGW","NEW LMBMGW","11462","11884"
"2026-04-28 16:00:00","60","NEW LLGMGW","NEW LLGMGW","13811","15252"
"2026-04-28 16:00:00","60","NEW LMBMGW","NEW LMBMGW","12826","14450"
"2026-04-28 17:00:00","60","NEW LLGMGW","NEW LLGMGW","17600","19745"
"2026-04-28 17:00:00","60","NEW LMBMGW","NEW LMBMGW","17478","21268"
"2026-04-28 18:00:00","60","NEW LLGMGW","NEW LLGMGW","19761","20072"
"2026-04-28 18:00:00","60","NEW LMBMGW","NEW LMBMGW","21988","22874"
"2026-04-28 19:00:00","60","NEW LLGMGW","NEW LLGMGW","19594","20144"
"2026-04-28 19:00:00","60","NEW LMBMGW","NEW LMBMGW","20793","21990"
"2026-04-28 20:00:00","60","NEW LLGMGW","NEW LLGMGW","15511","19083"
"2026-04-28 20:00:00","60","NEW LMBMGW","NEW LMBMGW","14973","19037"
"2026-04-28 21:00:00","60","NEW LLGMGW","NEW LLGMGW","7519","11020"
"2026-04-28 21:00:00","60","NEW LMBMGW","NEW LMBMGW","7058","10670"
"2026-04-28 22:00:00","60","NEW LLGMGW","NEW LLGMGW","2890","4693"
"2026-04-28 22:00:00","60","NEW LMBMGW","NEW LMBMGW","2615","4280"
"2026-04-28 23:00:00","60","NEW LLGMGW","NEW LLGMGW","1075","1732"
"2026-04-28 23:00:00","60","NEW LMBMGW","NEW LMBMGW","969","1567"
"2026-04-29 00:00:00","60","NEW LLGMGW","NEW LLGMGW","440","624"
"2026-04-29 00:00:00","60","NEW LMBMGW","NEW LMBMGW","436","585"
"2026-04-29 01:00:00","60","NEW LLGMGW","NEW LLGMGW","290","335"
"2026-04-29 01:00:00","60","NEW LMBMGW","NEW LMBMGW","285","336"
"2026-04-29 02:00:00","60","NEW LLGMGW","NEW LLGMGW","306","381"
"2026-04-29 02:00:00","60","NEW LMBMGW","NEW LMBMGW","308","397"
"2026-04-29 03:00:00","60","NEW LLGMGW","NEW LLGMGW","537","854"
"2026-04-29 03:00:00","60","NEW LMBMGW","NEW LMBMGW","577","993"
"2026-04-29 04:00:00","60","NEW LLGMGW","NEW LLGMGW","1815","3810"
"2026-04-29 04:00:00","60","NEW LMBMGW","NEW LMBMGW","2062","4228"
"2026-04-29 05:00:00","60","NEW LLGMGW","NEW LLGMGW","7466","10312"
"2026-04-29 05:00:00","60","NEW LMBMGW","NEW LMBMGW","7666","9964"
"2026-04-29 06:00:00","60","NEW LLGMGW","NEW LLGMGW","11027","11959"
"2026-04-29 06:00:00","60","NEW LMBMGW","NEW LMBMGW","10220","10587"
"2026-04-29 07:00:00","60","NEW LLGMGW","NEW LLGMGW","12011","12413"
"2026-04-29 07:00:00","60","NEW LMBMGW","NEW LMBMGW","10389","10717"
"2026-04-29 08:00:00","60","NEW LLGMGW","NEW LLGMGW","12310","12687"
"2026-04-29 08:00:00","60","NEW LMBMGW","NEW LMBMGW","10586","10998"
"2026-04-29 09:00:00","60","NEW LLGMGW","NEW LLGMGW","12176","12589"
"2026-04-29 09:00:00","60","NEW LMBMGW","NEW LMBMGW","10429","10858"
"2026-04-29 10:00:00","60","NEW LLGMGW","NEW LLGMGW","11807","12137"
"2026-04-29 10:00:00","60","NEW LMBMGW","NEW LMBMGW","9989","10377"
"2026-04-29 11:00:00","60","NEW LLGMGW","NEW LLGMGW","11924","12205"
"2026-04-29 11:00:00","60","NEW LMBMGW","NEW LMBMGW","10391","10742"
"2026-04-29 12:00:00","60","NEW LLGMGW","NEW LLGMGW","11659","12116"
"2026-04-29 12:00:00","60","NEW LMBMGW","NEW LMBMGW","10311","10733"
"2026-04-29 13:00:00","60","NEW LLGMGW","NEW LLGMGW","11817","12310"
"2026-04-29 13:00:00","60","NEW LMBMGW","NEW LMBMGW","10625","11122"
"2026-04-29 14:00:00","60","NEW LLGMGW","NEW LLGMGW","12189","12766"
"2026-04-29 14:00:00","60","NEW LMBMGW","NEW LMBMGW","11010","11509"
"2026-04-29 15:00:00","60","NEW LLGMGW","NEW LLGMGW","12551","12956"
"2026-04-29 15:00:00","60","NEW LMBMGW","NEW LMBMGW","11422","11746"
"2026-04-29 16:00:00","60","NEW LLGMGW","NEW LLGMGW","13754","15096"
"2026-04-29 16:00:00","60","NEW LMBMGW","NEW LMBMGW","12643","14223"
"2026-04-29 17:00:00","60","NEW LLGMGW","NEW LLGMGW","17568","19925"
"2026-04-29 17:00:00","60","NEW LMBMGW","NEW LMBMGW","17446","21336"
"2026-04-29 18:00:00","60","NEW LLGMGW","NEW LLGMGW","19947","20267"
"2026-04-29 18:00:00","60","NEW LMBMGW","NEW LMBMGW","22012","22794"
"2026-04-29 19:00:00","60","NEW LLGMGW","NEW LLGMGW","19593","20178"
"2026-04-29 19:00:00","60","NEW LMBMGW","NEW LMBMGW","21055","22007"
"2026-04-29 20:00:00","60","NEW LLGMGW","NEW LLGMGW","15159","19153"
"2026-04-29 20:00:00","60","NEW LMBMGW","NEW LMBMGW","14753","19185"
"2026-04-29 21:00:00","60","NEW LLGMGW","NEW LLGMGW","7295","10549"
"2026-04-29 21:00:00","60","NEW LMBMGW","NEW LMBMGW","6905","10587"
"2026-04-29 22:00:00","60","NEW LLGMGW","NEW LLGMGW","2766","4394"
"2026-04-29 22:00:00","60","NEW LMBMGW","NEW LMBMGW","2498","4157"
"2026-04-29 23:00:00","60","NEW LLGMGW","NEW LLGMGW","1094","1755"
"2026-04-29 23:00:00","60","NEW LMBMGW","NEW LMBMGW","939","1444"
"2026-04-30 00:00:00","60","NEW LLGMGW","NEW LLGMGW","435","686"
"2026-04-30 00:00:00","60","NEW LMBMGW","NEW LMBMGW","424","575"
"2026-04-30 01:00:00","60","NEW LLGMGW","NEW LLGMGW","311","369"
"2026-04-30 01:00:00","60","NEW LMBMGW","NEW LMBMGW","282","349"
"2026-04-30 02:00:00","60","NEW LMBMGW","NEW LMBMGW","311","411"
"2026-04-30 02:00:00","60","NEW LLGMGW","NEW LLGMGW","291","361"
"2026-04-30 03:00:00","60","NEW LLGMGW","NEW LLGMGW","515","832"
"2026-04-30 03:00:00","60","NEW LMBMGW","NEW LMBMGW","620","1029"
"2026-04-30 04:00:00","60","NEW LLGMGW","NEW LLGMGW","1811","3746"
"2026-04-30 04:00:00","60","NEW LMBMGW","NEW LMBMGW","2043","4154"
"2026-04-30 05:00:00","60","NEW LLGMGW","NEW LLGMGW","7578","10274"
"2026-04-30 05:00:00","60","NEW LMBMGW","NEW LMBMGW","7714","10031"
"2026-04-30 06:00:00","60","NEW LLGMGW","NEW LLGMGW","11184","11988"
"2026-04-30 06:00:00","60","NEW LMBMGW","NEW LMBMGW","10294","10800"
"2026-04-30 07:00:00","60","NEW LLGMGW","NEW LLGMGW","12139","12743"
"2026-04-30 07:00:00","60","NEW LMBMGW","NEW LMBMGW","10515","10970"
"2026-04-30 08:00:00","60","NEW LLGMGW","NEW LLGMGW","12470","12860"
"2026-04-30 08:00:00","60","NEW LMBMGW","NEW LMBMGW","10579","11000"
"2026-04-30 09:00:00","60","NEW LLGMGW","NEW LLGMGW","12291","12691"
"2026-04-30 09:00:00","60","NEW LMBMGW","NEW LMBMGW","10330","10791"
"2026-04-30 10:00:00","60","NEW LLGMGW","NEW LLGMGW","11805","12059"
"2026-04-30 10:00:00","60","NEW LMBMGW","NEW LMBMGW","9877","10156"
"2026-04-30 11:00:00","60","NEW LLGMGW","NEW LLGMGW","11846","12259"
"2026-04-30 11:00:00","60","NEW LMBMGW","NEW LMBMGW","10211","10766"
"2026-04-30 12:00:00","60","NEW LLGMGW","NEW LLGMGW","11861","12400"
"2026-04-30 12:00:00","60","NEW LMBMGW","NEW LMBMGW","10397","10779"
"2026-04-30 13:00:00","60","NEW LLGMGW","NEW LLGMGW","11936","12544"
"2026-04-30 13:00:00","60","NEW LMBMGW","NEW LMBMGW","10574","11094"
"2026-04-30 14:00:00","60","NEW LLGMGW","NEW LLGMGW","12383","12864"
"2026-04-30 14:00:00","60","NEW LMBMGW","NEW LMBMGW","11014","11584"
"2026-04-30 15:00:00","60","NEW LLGMGW","NEW LLGMGW","12764","13087"
"2026-04-30 15:00:00","60","NEW LMBMGW","NEW LMBMGW","11533","11929"
"2026-04-30 16:00:00","60","NEW LLGMGW","NEW LLGMGW","13845","15348"
"2026-04-30 16:00:00","60","NEW LMBMGW","NEW LMBMGW","12594","14023"
"2026-04-30 17:00:00","60","NEW LLGMGW","NEW LLGMGW","17685","19865"
"2026-04-30 17:00:00","60","NEW LMBMGW","NEW LMBMGW","17027","20672"
"2026-04-30 18:00:00","60","NEW LLGMGW","NEW LLGMGW","19873","20198"
"2026-04-30 18:00:00","60","NEW LMBMGW","NEW LMBMGW","21529","22291"
"2026-04-30 19:00:00","60","NEW LLGMGW","NEW LLGMGW","19544","20044"
"2026-04-30 19:00:00","60","NEW LMBMGW","NEW LMBMGW","20516","21705"
"2026-04-30 20:00:00","60","NEW LLGMGW","NEW LLGMGW","15360","19164"
"2026-04-30 20:00:00","60","NEW LMBMGW","NEW LMBMGW","14895","18860"
"2026-04-30 21:00:00","60","NEW LLGMGW","NEW LLGMGW","7693","11495"
"2026-04-30 21:00:00","60","NEW LMBMGW","NEW LMBMGW","7193","10755"
"2026-04-30 22:00:00","60","NEW LMBMGW","NEW LMBMGW","2608","4347"
"2026-04-30 22:00:00","60","NEW LLGMGW","NEW LLGMGW","2874","4666"
"2026-04-30 23:00:00","60","NEW LLGMGW","NEW LLGMGW","1050","1675"
"2026-04-30 23:00:00","60","NEW LMBMGW","NEW LMBMGW","931","1484"
"2026-05-01 00:00:00","60","NEW LLGMGW","NEW LLGMGW","469","639"
"2026-05-01 00:00:00","60","NEW LMBMGW","NEW LMBMGW","435","618"
"2026-05-01 01:00:00","60","NEW LLGMGW","NEW LLGMGW","290","348"
"2026-05-01 01:00:00","60","NEW LMBMGW","NEW LMBMGW","292","362"
"2026-05-01 02:00:00","60","NEW LLGMGW","NEW LLGMGW","310","383"
"2026-05-01 02:00:00","60","NEW LMBMGW","NEW LMBMGW","306","405"
"2026-05-01 03:00:00","60","NEW LLGMGW","NEW LLGMGW","542","940"
"2026-05-01 03:00:00","60","NEW LMBMGW","NEW LMBMGW","623","1085"
"2026-05-01 04:00:00","60","NEW LLGMGW","NEW LLGMGW","1933","3749"
"2026-05-01 04:00:00","60","NEW LMBMGW","NEW LMBMGW","2093","4041"
"2026-05-01 05:00:00","60","NEW LLGMGW","NEW LLGMGW","7626","10794"
"2026-05-01 05:00:00","60","NEW LMBMGW","NEW LMBMGW","7686","10263"
"2026-05-01 06:00:00","60","NEW LLGMGW","NEW LLGMGW","11553","12421"
"2026-05-01 06:00:00","60","NEW LMBMGW","NEW LMBMGW","10594","10972"
"2026-05-01 07:00:00","60","NEW LLGMGW","NEW LLGMGW","12567","13253"
"2026-05-01 07:00:00","60","NEW LMBMGW","NEW LMBMGW","10808","11270"
"2026-05-01 08:00:00","60","NEW LLGMGW","NEW LLGMGW","12912","13322"
"2026-05-01 08:00:00","60","NEW LMBMGW","NEW LMBMGW","10981","11265"
"2026-05-01 09:00:00","60","NEW LLGMGW","NEW LLGMGW","12714","13109"
"2026-05-01 09:00:00","60","NEW LMBMGW","NEW LMBMGW","10785","11227"
"2026-05-01 10:00:00","60","NEW LLGMGW","NEW LLGMGW","12271","12619"
"2026-05-01 10:00:00","60","NEW LMBMGW","NEW LMBMGW","10365","10637"
"2026-05-01 11:00:00","60","NEW LLGMGW","NEW LLGMGW","12117","12568"
"2026-05-01 11:00:00","60","NEW LMBMGW","NEW LMBMGW","10519","10969"
"2026-05-01 12:00:00","60","NEW LMBMGW","NEW LMBMGW","10015","10572"
"2026-05-01 12:00:00","60","NEW LLGMGW","NEW LLGMGW","11401","12023"
"2026-05-01 13:00:00","60","NEW LLGMGW","NEW LLGMGW","11969","12347"
"2026-05-01 13:00:00","60","NEW LMBMGW","NEW LMBMGW","10786","11362"
"2026-05-01 14:00:00","60","NEW LLGMGW","NEW LLGMGW","12377","12946"
"2026-05-01 14:00:00","60","NEW LMBMGW","NEW LMBMGW","11328","11808"
"2026-05-01 15:00:00","60","NEW LLGMGW","NEW LLGMGW","12524","12904"
"2026-05-01 15:00:00","60","NEW LMBMGW","NEW LMBMGW","11545","11951"
"2026-05-01 16:00:00","60","NEW LLGMGW","NEW LLGMGW","13413","14571"
"2026-05-01 16:00:00","60","NEW LMBMGW","NEW LMBMGW","12552","13829"
"2026-05-01 17:00:00","60","NEW LLGMGW","NEW LLGMGW","17145","19867"
"2026-05-01 17:00:00","60","NEW LMBMGW","NEW LMBMGW","16852","20341"
"2026-05-01 18:00:00","60","NEW LLGMGW","NEW LLGMGW","19795","20052"
"2026-05-01 18:00:00","60","NEW LMBMGW","NEW LMBMGW","21156","21585"
"2026-05-01 19:00:00","60","NEW LLGMGW","NEW LLGMGW","19562","20169"
"2026-05-01 19:00:00","60","NEW LMBMGW","NEW LMBMGW","20621","21672"
"2026-05-01 20:00:00","60","NEW LLGMGW","NEW LLGMGW","15363","18893"
"2026-05-01 20:00:00","60","NEW LMBMGW","NEW LMBMGW","15112","18833"
"2026-05-01 21:00:00","60","NEW LLGMGW","NEW LLGMGW","8162","11752"
"2026-05-01 21:00:00","60","NEW LMBMGW","NEW LMBMGW","7472","11082"
"2026-05-01 22:00:00","60","NEW LLGMGW","NEW LLGMGW","3155","5077"
"2026-05-01 22:00:00","60","NEW LMBMGW","NEW LMBMGW","2880","4610"
"2026-05-01 23:00:00","60","NEW LLGMGW","NEW LLGMGW","1209","1838"
"2026-05-01 23:00:00","60","NEW LMBMGW","NEW LMBMGW","1020","1579"
"2026-05-02 00:00:00","60","NEW LLGMGW","NEW LLGMGW","545","782"
"2026-05-02 00:00:00","60","NEW LMBMGW","NEW LMBMGW","512","663"
"2026-05-02 01:00:00","60","NEW LLGMGW","NEW LLGMGW","331","437"
"2026-05-02 01:00:00","60","NEW LMBMGW","NEW LMBMGW","330","399"
"2026-05-02 02:00:00","60","NEW LLGMGW","NEW LLGMGW","335","444"
"2026-05-02 02:00:00","60","NEW LMBMGW","NEW LMBMGW","330","401"
"2026-05-02 03:00:00","60","NEW LLGMGW","NEW LLGMGW","583","966"
"2026-05-02 03:00:00","60","NEW LMBMGW","NEW LMBMGW","612","1053"
"2026-05-02 04:00:00","60","NEW LLGMGW","NEW LLGMGW","1900","3685"
"2026-05-02 04:00:00","60","NEW LMBMGW","NEW LMBMGW","2095","3973"
"2026-05-02 05:00:00","60","NEW LLGMGW","NEW LLGMGW","7527","10483"
"2026-05-02 05:00:00","60","NEW LMBMGW","NEW LMBMGW","7610","10255"
"2026-05-02 06:00:00","60","NEW LLGMGW","NEW LLGMGW","11546","12399"
"2026-05-02 06:00:00","60","NEW LMBMGW","NEW LMBMGW","10673","11180"
"2026-05-02 07:00:00","60","NEW LLGMGW","NEW LLGMGW","12428","12839"
"2026-05-02 07:00:00","60","NEW LMBMGW","NEW LMBMGW","11015","11330"
"2026-05-02 08:00:00","60","NEW LLGMGW","NEW LLGMGW","12545","12987"
"2026-05-02 08:00:00","60","NEW LMBMGW","NEW LMBMGW","10929","11276"
"2026-05-02 09:00:00","60","NEW LLGMGW","NEW LLGMGW","12036","12413"
"2026-05-02 09:00:00","60","NEW LMBMGW","NEW LMBMGW","10486","11047"
"2026-05-02 10:00:00","60","NEW LLGMGW","NEW LLGMGW","11510","11857"
"2026-05-02 10:00:00","60","NEW LMBMGW","NEW LMBMGW","9870","10232"
"2026-05-02 11:00:00","60","NEW LLGMGW","NEW LLGMGW","11479","11869"
"2026-05-02 11:00:00","60","NEW LMBMGW","NEW LMBMGW","10039","10443"
"2026-05-02 12:00:00","60","NEW LLGMGW","NEW LLGMGW","11483","11815"
"2026-05-02 12:00:00","60","NEW LMBMGW","NEW LMBMGW","10326","10658"
"2026-05-02 13:00:00","60","NEW LLGMGW","NEW LLGMGW","11750","12192"
"2026-05-02 13:00:00","60","NEW LMBMGW","NEW LMBMGW","10690","11033"
"2026-05-02 14:00:00","60","NEW LLGMGW","NEW LLGMGW","11762","12101"
"2026-05-02 14:00:00","60","NEW LMBMGW","NEW LMBMGW","10828","11108"
"2026-05-02 15:00:00","60","NEW LLGMGW","NEW LLGMGW","11785","12066"
"2026-05-02 15:00:00","60","NEW LMBMGW","NEW LMBMGW","10859","11296"
"2026-05-02 16:00:00","60","NEW LLGMGW","NEW LLGMGW","13046","14514"
"2026-05-02 16:00:00","60","NEW LMBMGW","NEW LMBMGW","12233","13777"
"2026-05-02 17:00:00","60","NEW LLGMGW","NEW LLGMGW","17033","19708"
"2026-05-02 17:00:00","60","NEW LMBMGW","NEW LMBMGW","16740","20290"
"2026-05-02 18:00:00","60","NEW LLGMGW","NEW LLGMGW","19622","20012"
"2026-05-02 18:00:00","60","NEW LMBMGW","NEW LMBMGW","20564","21153"
"2026-05-02 19:00:00","60","NEW LLGMGW","NEW LLGMGW","19275","20016"
"2026-05-02 19:00:00","60","NEW LMBMGW","NEW LMBMGW","19687","21050"
"2026-05-02 20:00:00","60","NEW LLGMGW","NEW LLGMGW","15094","17992"
"2026-05-02 20:00:00","60","NEW LMBMGW","NEW LMBMGW","14798","18025"
"2026-05-02 21:00:00","60","NEW LLGMGW","NEW LLGMGW","7884","11515"
"2026-05-02 21:00:00","60","NEW LMBMGW","NEW LMBMGW","7626","11045"
"2026-05-02 22:00:00","60","NEW LLGMGW","NEW LLGMGW","3155","4965"
"2026-05-02 22:00:00","60","NEW LMBMGW","NEW LMBMGW","2883","4716"
"2026-05-02 23:00:00","60","NEW LLGMGW","NEW LLGMGW","1177","1830"
"2026-05-02 23:00:00","60","NEW LMBMGW","NEW LMBMGW","1020","1670"
"2026-05-03 00:00:00","60","NEW LLGMGW","NEW LLGMGW","540","738"
"2026-05-03 00:00:00","60","NEW LMBMGW","NEW LMBMGW","504","651"
"2026-05-03 01:00:00","60","NEW LMBMGW","NEW LMBMGW","316","407"
"2026-05-03 01:00:00","60","NEW LLGMGW","NEW LLGMGW","340","429"
"2026-05-03 02:00:00","60","NEW LLGMGW","NEW LLGMGW","292","398"
"2026-05-03 02:00:00","60","NEW LMBMGW","NEW LMBMGW","295","377"
"2026-05-03 03:00:00","60","NEW LLGMGW","NEW LLGMGW","506","885"
"2026-05-03 03:00:00","60","NEW LMBMGW","NEW LMBMGW","564","1005"
"2026-05-03 04:00:00","60","NEW LLGMGW","NEW LLGMGW","1703","3264"
"2026-05-03 04:00:00","60","NEW LMBMGW","NEW LMBMGW","1981","3747"
"2026-05-03 05:00:00","60","NEW LLGMGW","NEW LLGMGW","7103","10080"
"2026-05-03 05:00:00","60","NEW LMBMGW","NEW LMBMGW","7243","9970"
"2026-05-03 06:00:00","60","NEW LLGMGW","NEW LLGMGW","11000","11623"
"2026-05-03 06:00:00","60","NEW LMBMGW","NEW LMBMGW","10340","10777"
"2026-05-03 07:00:00","60","NEW LLGMGW","NEW LLGMGW","11331","11787"
"2026-05-03 07:00:00","60","NEW LMBMGW","NEW LMBMGW","10112","10605"
"2026-05-03 08:00:00","60","NEW LLGMGW","NEW LLGMGW","10890","11358"
"2026-05-03 08:00:00","60","NEW LMBMGW","NEW LMBMGW","9641","10075"
"2026-05-03 09:00:00","60","NEW LLGMGW","NEW LLGMGW","9973","10620"
"2026-05-03 09:00:00","60","NEW LMBMGW","NEW LMBMGW","8752","9483"
"2026-05-03 10:00:00","60","NEW LLGMGW","NEW LLGMGW","9243","9638"
"2026-05-03 10:00:00","60","NEW LMBMGW","NEW LMBMGW","8035","8302"
"2026-05-03 11:00:00","60","NEW LLGMGW","NEW LLGMGW","9634","10371"
"2026-05-03 11:00:00","60","NEW LMBMGW","NEW LMBMGW","8646","9189"
"2026-05-03 12:00:00","60","NEW LLGMGW","NEW LLGMGW","10596","11070"
"2026-05-03 12:00:00","60","NEW LMBMGW","NEW LMBMGW","9639","10339"
"2026-05-03 13:00:00","60","NEW LLGMGW","NEW LLGMGW","11637","12191"
"2026-05-03 13:00:00","60","NEW LMBMGW","NEW LMBMGW","10618","11071"
"2026-05-03 14:00:00","60","NEW LLGMGW","NEW LLGMGW","11702","12208"
"2026-05-03 14:00:00","60","NEW LMBMGW","NEW LMBMGW","10647","11352"
"2026-05-03 15:00:00","60","NEW LLGMGW","NEW LLGMGW","11741","12270"
"2026-05-03 15:00:00","60","NEW LMBMGW","NEW LMBMGW","10676","11510"
"2026-05-03 16:00:00","60","NEW LLGMGW","NEW LLGMGW","12848","14313"
"2026-05-03 16:00:00","60","NEW LMBMGW","NEW LMBMGW","12186","13665"
"2026-05-03 17:00:00","60","NEW LLGMGW","NEW LLGMGW","16624","19184"
"2026-05-03 17:00:00","60","NEW LMBMGW","NEW LMBMGW","16451","19220"
"2026-05-03 18:00:00","60","NEW LLGMGW","NEW LLGMGW","19785","20176"
"2026-05-03 18:00:00","60","NEW LMBMGW","NEW LMBMGW","21050","21807"
"2026-05-03 19:00:00","60","NEW LLGMGW","NEW LLGMGW","19591","20144"
"2026-05-03 19:00:00","60","NEW LMBMGW","NEW LMBMGW","20295","21568"
"2026-05-03 20:00:00","60","NEW LLGMGW","NEW LLGMGW","15189","18716"
"2026-05-03 20:00:00","60","NEW LMBMGW","NEW LMBMGW","14349","18343"
"2026-05-03 21:00:00","60","NEW LLGMGW","NEW LLGMGW","7604","11164"
"2026-05-03 21:00:00","60","NEW LMBMGW","NEW LMBMGW","6879","10066"
"2026-05-03 22:00:00","60","NEW LLGMGW","NEW LLGMGW","2869","4749"
"2026-05-03 22:00:00","60","NEW LMBMGW","NEW LMBMGW","2508","4153"
"2026-05-03 23:00:00","60","NEW LLGMGW","NEW LLGMGW","1069","1652"
"2026-05-03 23:00:00","60","NEW LMBMGW","NEW LMBMGW","941","1437"
"2026-05-04 00:00:00","60","NEW LLGMGW","NEW LLGMGW","471","665"
"2026-05-04 00:00:00","60","NEW LMBMGW","NEW LMBMGW","427","609"
"2026-05-04 01:00:00","60","NEW LLGMGW","NEW LLGMGW","314","366"
"2026-05-04 01:00:00","60","NEW LMBMGW","NEW LMBMGW","285","356"
"2026-05-04 02:00:00","60","NEW LLGMGW","NEW LLGMGW","301","356"
"2026-05-04 02:00:00","60","NEW LMBMGW","NEW LMBMGW","292","386"
"2026-05-04 03:00:00","60","NEW LLGMGW","NEW LLGMGW","540","967"
"2026-05-04 03:00:00","60","NEW LMBMGW","NEW LMBMGW","617","1048"
"2026-05-04 04:00:00","60","NEW LLGMGW","NEW LLGMGW","1915","3649"
"2026-05-04 04:00:00","60","NEW LMBMGW","NEW LMBMGW","2100","4018"
"2026-05-04 05:00:00","60","NEW LMBMGW","NEW LMBMGW","7334","9581"
"2026-05-04 05:00:00","60","NEW LLGMGW","NEW LLGMGW","7344","10182"
"2026-05-04 06:00:00","60","NEW LLGMGW","NEW LLGMGW","10965","11813"
"2026-05-04 06:00:00","60","NEW LMBMGW","NEW LMBMGW","9911","10354"
"2026-05-04 07:00:00","60","NEW LLGMGW","NEW LLGMGW","11971","12423"
"2026-05-04 07:00:00","60","NEW LMBMGW","NEW LMBMGW","10101","10447"
"2026-05-04 08:00:00","60","NEW LLGMGW","NEW LLGMGW","12402","12760"
"2026-05-04 08:00:00","60","NEW LMBMGW","NEW LMBMGW","10453","10770"
"2026-05-04 09:00:00","60","NEW LLGMGW","NEW LLGMGW","12497","12979"
"2026-05-04 09:00:00","60","NEW LMBMGW","NEW LMBMGW","10401","10825"
"2026-05-04 10:00:00","60","NEW LLGMGW","NEW LLGMGW","12071","12348"
"2026-05-04 10:00:00","60","NEW LMBMGW","NEW LMBMGW","10037","10454"
"2026-05-04 11:00:00","60","NEW LLGMGW","NEW LLGMGW","12233","12678"
"2026-05-04 11:00:00","60","NEW LMBMGW","NEW LMBMGW","10431","10858"
"2026-05-04 12:00:00","60","NEW LLGMGW","NEW LLGMGW","12165","12649"
"2026-05-04 12:00:00","60","NEW LMBMGW","NEW LMBMGW","10571","10911"
"2026-05-04 13:00:00","60","NEW LLGMGW","NEW LLGMGW","12190","12507"
"2026-05-04 13:00:00","60","NEW LMBMGW","NEW LMBMGW","10651","11064"
"2026-05-04 14:00:00","60","NEW LLGMGW","NEW LLGMGW","12551","12964"
"2026-05-04 14:00:00","60","NEW LMBMGW","NEW LMBMGW","11183","11805"
"2026-05-04 15:00:00","60","NEW LLGMGW","NEW LLGMGW","12944","13437"
"2026-05-04 15:00:00","60","NEW LMBMGW","NEW LMBMGW","11699","12168"
"2026-05-04 16:00:00","60","NEW LLGMGW","NEW LLGMGW","14198","15970"
"2026-05-04 16:00:00","60","NEW LMBMGW","NEW LMBMGW","12992","14641"
"2026-05-04 17:00:00","60","NEW LLGMGW","NEW LLGMGW","17772","19891"
