"Result:vMGW License Usage(2026-06-02 154429)_20260602_154545.csv"
"Save Time:2026-06-02 15:45:45"
"User Name:fraser.msusa"


"NE Type Name:CloudSE2980"

"NE Names:CloudSBC01_SBC;LLWVMGW01;LMBVMGW01"

"Function Subset Name:License Resource Usage Measurement (MGW)"

"Total 837 records"

"Start Time","Period (min)","NE Name","Software System","License Resource Usage for Basic Software on the MGW (%)"
"2026-05-22 21:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","33"
"2026-05-22 22:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-22 22:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","10"
"2026-05-22 22:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","14"
"2026-05-22 23:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","5"
"2026-05-22 23:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","4"
"2026-05-22 23:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 00:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 00:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","2"
"2026-05-23 00:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","2"
"2026-05-23 01:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 01:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-23 01:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-23 02:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 02:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-23 02:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-23 03:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 03:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-23 03:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-23 04:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 04:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","4"
"2026-05-23 04:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","5"
"2026-05-23 05:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 05:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","15"
"2026-05-23 05:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","23"
"2026-05-23 06:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 06:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","20"
"2026-05-23 06:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-23 07:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 07:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","21"
"2026-05-23 07:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-23 08:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 08:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","20"
"2026-05-23 08:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-23 09:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 09:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","20"
"2026-05-23 09:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","28"
"2026-05-23 10:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-23 10:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","19"
"2026-05-23 10:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
